2,BOS
3,EOS
4,the
5,of
6,in
7,to
8,and
9,is
10,a
11,it
12,are
13,was
14,for
15,he
16,on
17,has
18,not
19,at
20,rs
21,by
22,i
23,but
24,you
25,as
26,be
27,his
28,its
29,all
30,an
31,one
32,we
33,no
34,people
35,she
36,crore
37,bjp
38,can
39,had
40,new
41,two
42,how
43,government
44,so
45,movie
46,do
47,out
48,their
49,these
50,being
51,about
52,very
53,lakh
54,state
55,up
56,or
57,her
58,first
59,court
60,however
61,why
62,them
63,congress
64,after
65,dont
66,incident
67,indian
68,more
69,who
70,then
71,over
72,many
73,thats
74,should
75,did
76,him
77,hospital
78,other
79,take
80,per
81,into
82,which
83,some
84,against
85,me
86,here
87,high
88,good
89,us
90,time
91,well
92,took
93,your
94,crores
95,day
96,district
97,case
98,water
99,too
100,such
101,media
102,when
103,our
104,place
105,under
106,delhi
107,died
108,my
109,only
110,same
111,social
112,modi
113,three
114,made
115,world
116,party
117,later
118,love
119,just
120,reddy
121,both
122,during
123,am
124,telangana
125,life
126,hyderabad
127,like
128,going
129,work
130,get
131,number
132,pradesh
133,country
134,children
135,chief
136,president
137,death
138,taken
139,most
140,cent
141,cases
142,yet
143,singh
144,another
145,than
146,much
147,whats
148,each
149,while
150,elections
151,directed
152,won
153,know
154,come
155,video
156,any
157,between
158,make
159,total
160,films
161,would
162,director
163,every
164,need
165,got
166,best
167,health
168,family
169,if
170,second
171,wife
172,last
173,power
174,music
175,go
176,asked
177,back
178,farmers
179,god
180,man
181,still
182,does
183,home
184,rahul
185,even
186,kumar
187,important
188,available
189,leaders
190,role
191,s
192,killed
193,four
194,everyone
195,former
196,gandhi
197,didnt
198,assembly
199,bollywood
200,ram
201,treatment
202,seats
203,add
204,actor
205,national
206,bank
207,went
208,leader
209,injured
210,school
211,different
212,down
213,those
214,around
215,andhra
216,married
217,use
218,lead
219,where
220,meeting
221,always
222,house
223,election
224,story
225,decision
226,body
227,central
228,came
229,son
230,pm
231,fire
232,due
233,others
234,name
235,want
236,look
237,team
238,following
239,says
240,mumbai
241,set
242,centre
243,accident
244,theres
245,way
246,girl
247,among
248,child
249,think
250,big
251,nothing
252,true
253,pakistan
254,part
255,news
256,recently
257,woman
258,see
259,telugu
260,already
261,women
262,students
263,through
264,sharma
265,long
266,several
267,features
268,details
269,right
270,temple
271,viral
272,including
273,prices
274,special
275,currently
276,city
277,spot
278,years
279,process
280,off
281,could
282,tdp
283,oil
284,father
285,khan
286,officials
287,top
288,help
289,karnataka
290,produced
291,something
292,tamil
293,must
294,indias
295,never
296,pawan
297,started
298,food
299,happy
300,really
301,kohli
302,cricket
303,area
304,done
305,own
306,real
307,since
308,thousand
309,released
310,again
311,gb
312,list
313,few
314,car
315,great
316,daughter
317,next
318,investigation
319,before
320,known
321,states
322,days
323,sri
324,test
325,situation
326,five
327,jehovah
328,chandrababu
329,expected
330,cbi
331,further
